Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Beryllium,Be,4,9.012182,1848,1560.15,2743.15,Solid,1560,2743,,,7.95,297,,240,,,190,0.000011,1690,0.00000500,600000000,5500000,1670000000.000000,130000000000.00000,132000000000.000000,287000000000.000000,0.032,,13000,2,1.57,0,,,6.1,1567,EU231-150-7,1,3,0,RTECSLW3850000,,s,2,2,[Xe]4f75d16s2,SlateGray,,CAS7440-41-7,CID5460467,Gmelin16256,,Conductor,25000000.00000,0,0.026,Diamagnetic,,-0.000000,-0.0000000,-0.0000230,0,0,0.00000,0.00019,0,0,0.000000,0,,P63/mmc,194,Inf,Inf,,1,0.0092,0.00003000000000000000,2,2
Bismuth,Bi,83,208.98038,9780,544.45,1837.15,Solid,544.4,1837,,,10.9,160,,1030,,,8,0.000013,10050,0.00002100,94200000,2250000,,31000000000.00000,12000000000.00000,32000000000.00000,0.33,,1790,5,2.02,91.2,,,6.1,3080,EU231-177-4,,,,RTECSED7350000,,p,15,6,[He]2s22p1,Gray,,CAS7440-69-9,CID5359367,Gmelin16267,,Conductor,770000,0.00000,,Diamagnetic,,-0.00000,-0.00000,-0.00017,0,0.00000100000000000000,0.00001,0.00000,0,,0.000000,0.000000,,C12/m1,12,599260000000000026549944320.00000000,870504000000000002399141888.000000000,AlphaEmission,4S3/2,0.034,0.00000600000000000000,6,15
Bohrium,Bh,107,264,,,,,,,,,,,,265,,,,,,,,,,,,,,,,7,,,,,,,,,,,RTECSQT9900000,,d,7,7,[Kr]4d45s1,,,CAS54037-14-8,,,,,,,,,,,,,,0,0,0,0,0,,,,,,5400,7812,AlphaEmission,6S5/2,,,7,7
Boron,B,5,10.811,2460,2348.15,4273.15,Solid,2348,4273,3390000,,50,507,,1040,,,27,0.00000600000000000000,2080,0.00000400,,9300000,49000000000.00000,320000000000.00000,,,,,16200,3,2.04,26.7,,,,,EU231-151-2,3,2,0,RTECSQW9700000,,p,13,2,[He]2s22p3,Black,,CAS7440-42-8,CID5462311,Gmelin16262,,Insulator,0.0001,10000,,Diamagnetic,,-0.00000,-0.000000,-0.000021,0,0,0.00016,0.00086,0.00044,0.00006999999999999999,0.00000,0.00000,,R_3m,166,Inf,Inf,,2P1/2,755,2.4,2,13
Bromine,Br,35,79.904,3120,265.85,332.15,Liquid,265.8,332,,588,5.8,14.8,,201,,,0.12,,3120,0.0000260,,,,1900000000.00000,,,,1.001132,,7,2.96,324.6,,255.15,8,1744,EU231-778-1,0,3,0,RTECSWY2625000,,p,17,4,[Kr]4d105s25p4,Red,,CAS7726-95-6,CID24408,Gmelin1182,,Insulator,0,10000000000,,Diamagnetic,,-0.00000,-0.000000,-0.000015,0.00000100000000000000,,0.00012,0.00029999999999999997,0.0067,0.00029,0.00000,0.000000,0.000000,Cmca,64,Inf,Inf,,2P3/2,6.8,0.002,4,17
Cadmium,Cd,48,112.411,8650,594.22,1040.15,Solid,594.22,1040,,,6.3,100,,1020,,,97,0.000031,7996,0.00001300,203000000.000000,2000000,,42000000000.00000,19000000000.00000,50000000000,0.3,,2310,2,1.69,0,523.15,,6.1,2570,EU231-152-8,2,2,0,RTECSOM3850000,,d,12,5,[Ne]3s2,Silver,,CAS7440-43-9,CID23973,Gmelin16276,,Conductor,14000000.00000,0,0.517,Diamagnetic,,-0.00000,-0.000000,-0.000020,0,0.00000100000000000000,0.00004,0.00002,0,0.00006999999999999999,0.000000,0.000000,0.000000,P63/mmc,194,Inf,Inf,,1,2450,1.4,5,12
Calcium,Ca,20,40.078,1550,1115.15,1757.15,Solid,1115,1757,,,8.54,155,-990,92,,,200,0.000022,1378,0.00002600,167000000.000000,1750000,,17000000000.00000,7400000000.00000,20000000000,0.31,,3810,2,1,2.37,,,4.2,1855,EU231-179-5,1,3,2,,,s,2,4,[Rn]7s2,Silver,,CAS7440-70-2,CID271,Gmelin16277,,Conductor,29000000.00000,0.00000,,Paramagnetic,,0.000000,0.0000000,0.0000210,0.007,0.007,1.1,5,0.00042,1.4,0.000000,0.000000,,Fm_3m,225,Inf,Inf,,1,0.43,0.00037,4,2
Californium,Cf,98,251,15100,1173.15,,Solid,1173,,6280000,,,,,93.65,,,,,,0.0000170,,,,,,,,,,4,1.3,,,,,,,,,,RTECSVE3750000,,f,,7,[Xe]4f145d106s26p6,,,CAS7440-71-3,,,,,,,,,,,,,,0,0,0,0,0,,,,P63/mmc,194,28404924000,41002000000.00000000,AlphaEmission,5I8,2900,,9.5,12
Carbon,C,6,12.0107,2260,3823.15,4300.15,Solid,3823,4300,,,105,715,-393,165,,,140,0.00001,,0.00000500,,500000,,33000000000.00000,,,,2.417,18350,4,2.55,153.9,758.15,,4.2,1361,EU231-153-3,1,0,0,,,p,14,2,[Xe]4f116s2,Black,,CAS7440-44-0,CID5462310,Gmelin8868,,Conductor,100000,0.00001000000000000000,,Diamagnetic,,-0.00000,-0.000000,-0.00001,0.5,0.3,1.5,0.18,0.0028,23,0.00000,0.00000,0.00000,P63/mmc,194,Inf,Inf,,3,0.0035,0.00002,2,14
Cerium,Ce,58,140.116,6689,1071.15,3633.15,Solid,1071,3633,,,5.5,350,,421,,12.5,11,0.00001,6550,0.00002100,412000000.000000,2500000,270000000.00000,22000000000.00000,14000000000.00000,34000000000.00000,0.24,,2100,4,1.12,50,,,4.1,1333,EU231-154-9,3,2,2,RTECSGF8750000,,f,,6,[Ar]3d74s2,Silver,,CAS7440-45-1,CID23974,Gmelin16275,NSC158935,Conductor,1400000,0.00000,0.022,Paramagnetic,,0.00000,0.00000000,0.0014720,0.00000100000000000000,0,0.00007,0.006,0.00000,,,,,P63/mmc,194,Inf,Inf,,1G4,0.6,0.00021,8.5,4
Cesium,Cs,55,132.90545,1879,301.59,944.15,Solid,301.59,944,,1938,2.09,65,,129,,,36,,1843,0.00007100,140000,200000,,1600000000.00000,,1700000000.00000,,,,1,0.79,45.5,,,4.3,1407,EU231-155-4,,,,RTECSXG3425000,Caesium,s,1,6,[Xe]4f145d106s26p1,Silver,,CAS7440-46-2,CID5354618,Gmelin15188,,Conductor,5000000,0,,,,-0.00000,-0.000000,-0.000005,0,0.00000100000000000000,0.00001,0.00019,0,0.00000200000000000000,0.000000,0.000000,,Im_3m,229,Inf,Inf,,2S1/2,29,0.0077,6,1
Chlorine,Cl,17,35.453,3.214,171.65,239.11,Gas,171.6,239.11,,416.9,3.2,10.2,,479,1/?,,0.0089,,,0.011031,,,,1100000000.00000,,,,1.000773,206,5,3.16,349,,,,,,,,,RTECSOO9275000,,p,17,3,[Ar]3d54s2,Yellow,Diatomic,CAS7782-50-5,CID24526,,,Insulator,0.01,100,,Diamagnetic,,-0.00000,-0.000000,-0.000000,0.0001,0.00080000000000000004,0.037,0.017,2,0.12,0.00000,0.00000,0.000000,Cmca,64,Inf,Inf,,2P3/2,35.3,0.033,3,17
