Name,Symbol,Atomic_Number,Atomic_Weight,Density,Melting_Point,Boiling_Point,Phase,Absolute_Melting_Point,Absolute_Boiling_Point,Critical_Pressure,Critical_Temperature,Heat_of_Fusion,Heat_of_Vaporization,Heat_of_Combustion,Specific_Heat,Adiabatic_Index,Neel_Point,Thermal_Conductivity,Thermal_Expansion,Density_Liquid,Molar_Volume,Brinell_Hardness,Mohs_Hardness,Vickers_Hardness,Bulk_Modulus,Shear_Modulus,Young_Modulus,Poisson_Ratio,Refractive_Index,Speed_of_Sound,Valence,Electronegativity,ElectronAffinity,Autoignition_Point,Flashpoint,DOT_Hazard_Class,DOT_Numbers,EU_Number,NFPA_Fire_Rating,NFPA_Health_Rating,NFPA_Reactivity_Rating,RTECS_Number,Alternate_Names,Block,Group,Period,Electron_Configuration,Color,Gas_phase,CAS_Number,CID_Number,Gmelin_Number,NSC_Number,Electrical_Type,Electrical_Conductivity,Resistivity,Superconducting_Point,Magnetic_Type,Curie_Point,Mass_Magnetic_Susceptibility,Molar_Magnetic_Susceptibility,Volume_Magnetic_Susceptibility,Percent_in_Universe,Percent_in_Sun,Percent_in_Meteorites,Percent_in_Earths_Crust,Percent_in_Oceans,Percent_in_Humans,Atomic_Radius,Covalent_Radius,Van_der_Waals_Radius,Space_Group_Name,Space_Group_Number,HalfLife,Lifetime,Decay_Mode,Quantum_Numbers,Neutron_Cross_Section,Neutron_Mass_Absorption,Graph.Period,Graph.Group
Holmium,Ho,67,164.93032,8795,1747.15,2973.15,Solid,1747,2973,,,17,265,,,,132,16,0.000011,8340,0.00001900,746000000.000000,,481000000.000000,40000000000,26000000000.00000,65000000000.00000,0.23,,2760,3,1.23,50,,,4.1,3089,EU231-169-0,,,,,,f,,6,[Rn]5f117s2,Silver,,CAS7440-60-0,CID23988,Gmelin16291,,Conductor,1100000,0.00000,,Paramagnetic,20,0.000005,0.000001000,0.0482850,0,0,0.00001,0.00012,0.00000,,0.000000,,,P63/mmc,194,Inf,Inf,,4I15/2,65,0.015,8.5,13
Indium,In,49,114.818,7310,429.75,2345.15,Solid,429.75,2345,,,3.26,230,,144,,,82,0.000032,7020,0.00001600,8830000,1200000,,,,11000000000.00000,,,1215,3,1.78,28.9,,,4.1,3089,EU231-180-0,,,,RTECSMG4600000,,p,13,5,[Xe]4f145d26s2,Silver,,CAS7440-74-6,CID5359967,Gmelin1081,,Conductor,12000000.00000,0,3.41,Diamagnetic,,-0.00000,-0.000000,-0.000010,0,0,0.00000,0.00002,0,,0.000000,0.000000,0.000000,I4/mmm,139,Inf,Inf,,2P1/2,194,0.06,5,13
Iodine,I,53,126.90447,4940,386.85,457.45,Solid,386.85,457.4,,819,7.76,20.9,,133,,,0.449,,,0.00002600,,,,7700000000.00000,,,,,,7,2.66,295.2,,,8,1759,EU231-442-4,0,3,0,RTECSTP2160000,,p,17,5,[Xe]4f145d96s1,SlateGray,,CAS7553-56-2,CID807,Gmelin1160,NSC42355,Insulator,0,10000000,,,,-0.00000,-0.000000,-0.000022,0,,0.00003,0.00005,0.00000600000000000000,0.00002000000000000000,0.000000,0.000000,0.000000,Cmca,64,Inf,Inf,,2P3/2,6.2,0.0018,5,17
Iridium,Ir,77,192.217,22650,2739.15,4701.15,Solid,2739,4701,,,26,560,,,,,150,0.00001,19000,0.00000800,1670000000.000000,6500000,1760000000.000000,320000000000.00000,210000000000.00000,528000000000.000000,0.26,,4825,6,2.2,151,,,4.1,3089,EU231-095-9,,,,,,d,9,6,[Rn]5f146d107s27p2,Silver,,CAS7439-88-5,CID23924,Gmelin16298,,Conductor,21000000.00000,0.00000,0.11,Paramagnetic,,0.00000,0.000000,0.000052,0,0,0.00005,0,,,0.00000,0.000000,,Fm_3m,225,Inf,Inf,,4F9/2,425,0.08,6,9
Iron,Fe,26,55.845,7874,1811.15,3134.15,Solid,1811,3134,,,13.8,347,,,,,80,0.000012,6980,0.00000700,490000000.00000,4000000,608000000.000000,170000000000.00000,82000000000.00000,211000000000.000000,0.29,,4910,3,1.83,15.7,373.15,,4.1,3089,EU231-096-4,1,1,0,,Ferrum,d,8,4,[Rn]5f97s2,Gray,,CAS7439-89-6,CID23925,Gmelin6845,,Conductor,10000000,0.00000,,Ferromagnetic,1043,,,,0.11,0.1,22,6.3,0,0.006,0.000000,0.000000,,Im_3m,229,Inf,Inf,,5D4,2.56,0.0015,4,8
Krypton,Kr,36,83.798,3.75,115.79,119.93,Gas,115.79,119.93,,209.41,1.64,9.02,,,1/?,,0.00943,,,0.02235,,,,,,,,1.000427,1120,2,3,0,,,2.2,1970,EU231-098-5,,,,,,p,18,4,[Rn]5f146d107s2,Colorless,Monoatomic,CAS7439-90-9,CID5416,Gmelin16201,,,,,,Diamagnetic,,-0.00000,-0.000000,-0.000000,0.00000400000000000000,,,0.00000,0.00000,,0.00000,0.00000,0.000000,Fm_3m,225,Inf,Inf,,1,25,0.013,4,18
Lanthanum,La,57,138.9055,6146,1193.15,3737.15,Solid,1193,3737,,,6.2,400,,,,,13,0.000012,5940,0.00002300,363000000.000000,2500000,491000000.000000,28000000000.00000,14000000000.00000,37000000000.00000,0.28,,2475,3,1.1,48,,,,,,,,,,,f,,6,[Xe]4f145d106s26p4,Silver,,CAS7439-91-0,,,,Conductor,1600000,0.00000,4.88,,,0.00000,0.0000000,0.0000680,0,0,0.00003,0.0034,0.00000,,,0.000000,,P63/mmc,194,Inf,Inf,,2D3/2,8.98,0.0023,8.5,3
Lawrencium,Lr,103,262,,1900.15,,,1900,,10340000,,,,,947.3,,,,,,,,,,,,,,,,3,,,,,,,,,,,RTECSEF9100000,,d,3,7,[Ar]3d104s24p5,,,CAS22537-19-5,,,,,,,,,,,,,,0,0,0,0,0,,,,,,36000,51840,AlphaEmission,2P1/2,,,9.5,17
Lead,Pb,82,207.2,11340,600.61,2022.15,Solid,600.61,2022,,,4.77,178,,196,,,35,0.000029,10660,0.00001800,38300000,1500000,,46000000000.00000,5600000000.00000,16000000000.00000,0.44,,1260,4,2.33,35.1,,,,3077,EU231-100-4,0,2,0,,Plumbum,p,14,6,[Xe]4f66s2,SlateGray,,CAS7439-92-1,CID73212,Gmelin16240,,Conductor,4800000,0.00000,7.2,Diamagnetic,,-0.00000,-0.000000,-0.00002,0.00000100000000000000,0.00000100000000000000,0.00014,0.00099,0,0.00017,0.000000,0.000000,0.000000,Fm_3m,225,Inf,Inf,,3,0.171,0.00003000000000000000,6,14
Lithium,Li,3,6.941,535,453.69,1615.15,Solid,453.69,1615,,3223,3,147,-298,1820,,,85,0.00005,512,0.0000130,,600000,,11000000000.00000,4200000000.00000,4900000000.00000,,,6000,1,0.98,59.6,452.15,,4.3,1415,EU231-102-5,2,3,2,RTECSDS1750000,,s,1,2,[He]2s2,Silver,,CAS7439-93-2,CID3028194,Gmelin30,,Conductor,11000000.00000,0.00000,,Paramagnetic,,0.00000,0.000000,0.000003,0.00000100000000000000,0,0.00017,0.0017,0.00002,0.00000300000000000000,0.000000,0.000000,0.000000,Im_3m,229,Inf,Inf,,2S1/2,0.045,,2,1
Lutetium,Lu,71,174.967,9841,1936.15,3675.15,Solid,1936,3675,,,22,415,,,,,16,0.00001,9300,0.00001800,893000000.000000,,1160000000.000000,48000000000.00000,27000000000.00000,69000000000.00000,0.26,,,3,1.27,50,,,4.1,3089,EU231-103-0,,,,,,d,3,6,[Rn]5f146d37s2,Silver,,CAS7439-94-3,CID23929,Gmelin16202,,Conductor,1800000,0.00000,0.1,,,0.00000,0.00000,0.000012,0,0,0.00000,0.00006,0.00000,,0.000000,0.00000,,P63/mmc,194,Inf,Inf,,2D3/2,84,0.022,8.5,17
Magnesium,Mg,12,24.305,1738,923.15,1363.15,Solid,923,1363,,,8.7,128,-668,130,,,160,0.00001,1584,0.00001400,260000000.00000,2500000,,45000000000.00000,17000000000.00000,45000000000.00000,0.29,,4602,2,1.31,0,745.15,773.15,4.1,2950,EU231-104-6,1,0,1,RTECSRN1100000,,s,2,3,[Xe]4f145d66s2,Silver,,CAS7439-95-4,CID888,Gmelin16207,NSC529832,Conductor,23000000.00000,0.00000,,Paramagnetic,,0.00000,0.000000,0.00001,0.06,0.07,12,2.9,0.13,0.027,0.000000,0.00000,0.000000,P63/mmc,194,Inf,Inf,,1,0.063,0.0001,3,2
Manganese,Mn,25,54.938049,7470,1519.15,2334.15,Solid,1519,2334,16000000.00000,,13.2,220,,364,,100,7.8,0.000022,5950,0.00000700,196000000.000000,6000000,,120000000000.00000,,198000000000.000000,,,5150,4,1.55,0,,,4.1,3089,EU231-105-1,,,,RTECSVL8500000,,d,7,4,[Kr]5s1,Silver,,CAS7439-96-5,CID27854,Gmelin699,,Conductor,620000,0.00000,,Paramagnetic,,0.000000,0.00000000,0.00090400,0.00080000000000000004,0.001,0.27,0.11,0,0.00002000000000000000,0.000000,0.000000,,I_43m,217,Inf,Inf,,6S5/2,13.3,0.0083,4,7
Meitnerium,Mt,109,268,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,9,7,[Kr]4d75s1,,,CAS54038-01-6,,,,,,,,,,,,,,0,0,0,0,0,,,,,,30,43.3,AlphaEmission,4F9/2,,,7,9
Mendelevium,Md,101,258,,1100.15,,,1100,,,,,,,321.4,,,,,,,,,,,,,,,,3,1.3,,,,,,,,,,RTECSLY5200000,,f,,7,[Ar]3d104s24p2,,,CAS7440-11-1,,,,,,,,,,,,,,0,0,0,0,0,,,,,,4449600,6420384,AlphaEmission,2F7/2,,,9.5,15
Mercury,Hg,80,200.59,13534,234.32,629.88,Liquid,234.32,629.88,,1750,2.29,59.2,,,,,8.3,,13534,0.000015000,,,,25000000000.00000,,,,1.000933,1407,2,2,0,,,8,2809,EU231-106-7,0,3,0,,Hydrargyrum,d,12,6,[Rn]5f146d107s27p6,Silver,,CAS7439-97-6,CID26623,Gmelin1623,,Conductor,1000000,0.00000,4.154,Diamagnetic,,-0.00000,-0.000000,-0.000028,0,0.00000200000000000000,0.00003,0.00001,0,,0.000000,0.000000,0.000000,R_3m,166,Inf,Inf,,1,374,0.063,6,12
Molybdenum,Mo,42,95.94,10280,2896.15,4912.15,Solid,2896,4912,67000000.00000,,36,600,,3570,,,139,0.00001,9330,0.0000090,1500000000.00000,5500000,1530000000.000000,230000000000.00000,20000000000,329000000000.000000,0.31,,6190,6,2.16,71.9,,,4.1,3089,EU231-107-2,3,1,0,RTECSOJ5540000,,d,6,5,[He]2s1,Gray,,CAS7439-98-7,CID23932,Gmelin16205,NSC600660,Conductor,20000000,0,0.915,Paramagnetic,,0.000000,0.0000000,0.0001200,0,0.00000100000000000000,0.00012,0.00011,0.00000100000000000000,0.00001000000000000000,0.00000,0.000000,,Im_3m,229,Inf,Inf,,7S3,2.6,0.00089999999999999998,5,6
Neodymium,Nd,60,144.24,7010,1294.15,3373.15,Solid,1294,3373,,,7.1,285,,388,,19.2,17,0.00001,6890,0.00002100,265000000.000000,,343000000.000000,32000000000.00000,16000000000.00000,41000000000.00000,0.28,,2330,3,1.14,50,,,,,EU231-109-3,,,,RTECSZG8600000,,f,,6,[Ar]3d104s2,Silver,,CAS7440-00-8,CID23934,Gmelin16212,,Conductor,1600000,0.00000,,Paramagnetic,,0.00000,0.00000000,0.0033650,0.00000100000000000000,0,0.00005000000000000000,0.0033,0.00000,,0.000000,,,P63/mmc,194,Inf,Inf,,5I4,49,0.011,8.5,6
Neon,Ne,10,20.1797,0.9,24.56,27.07,Gas,24.56,27.07,,44.4,0.34,1.75,,140,1/?,,0.0491,,,0.02242,,,,,,,,1.000067,936,0,,0,,,2.2,1913,EU231-110-9,,,,RTECSWW5505000,,p,18,2,[Xe]4f145d36s2,Colorless,Monoatomic,CAS7440-01-9,CID23935,Gmelin16211,,,,,,Diamagnetic,,-0.00000,-0.000000,-0.000000,0.13,0.1,,0,0.00000,,0.00000,0.00000,0.000000,Fm_3m,225,Inf,Inf,,1,0.04,0.00059999999999999995,2,18
Neptunium,Np,93,237,20450,917.15,4273.15,Solid,917,4273,,,10,335,,631,,,6,,,0.000012000,,,,,,,,,,6,1.36,,,,,,,,,,RTECSEW8040000,,f,,7,[Ar]4s2,Silver,,CAS7439-99-8,,,,Conductor,830000,0.00000,,,,,,,,0,0,0,0,0,,,,Pnma,62,67669070000000.0000000000,97622608000000.00000000000,AlphaEmission,6L11/2,180,,9.5,7
Nickel,Ni,28,58.6934,8908,1728.15,3186.15,Solid,1728,3186,,,17.2,378,,,,,91,0.000013,7810,0.00000700,700000000,4000000,638000000.000000,180000000000.00000,76000000000.00000,200000000000,0.31,,4970,2,1.91,112,,,4.1,3089,EU231-111-4,4,2,1,,,d,10,4,[Rn]5f127s2,Gray,,CAS7440-02-0,CID934,Gmelin16229,,Conductor,14000000.00000,0,,Ferromagnetic,631,,,,0.006,0.008,1.3,0.0089,0,0.00001000000000000000,0.000000,0.000000,0.000000,Fm_3m,225,Inf,Inf,,3F4,37.2,0.0026,4,10
Niobium,Nb,41,92.90638,8570,2750.15,5017.15,Solid,2750,5017,,,26.8,690,,190,,,54,0.00001,,0.00001100,736000000.000000,6000000,1320000000.000000,170000000000.00000,38000000000.00000,105000000000.000000,0.4,,3480,5,1.6,86.1,,,,,EU231-113-5,,,,RTECSQO8575000,,d,5,5,[Xe]4f46s2,Gray,,CAS7440-03-1,CID23936,Gmelin16213,,Conductor,6700000,0.00000,9.25,,,0.000000,0.0000000,0.0002410,0,0,0.00002,0.0017,0,,0.000000,0.000000,,Im_3m,229,Inf,Inf,,6D1/2,1.15,0.00040000000000000002,5,5
Nitrogen,N,7,14.0067,1.251,63.05,77.36,Gas,63.05,77.36,2760000,126.21,0.36,2.79,,1030,1/?,,0.02583,,,0.011196,,,,,,,,1.000298,333.6,3,3.04,7,,,2.2,1977,EU231-783-9,0,3,0,RTECSQP4450000,,p,15,2,[He]2s22p6,Colorless,Diatomic,CAS7727-37-9,CID947,Gmelin150,,,,,,Diamagnetic,,-0,-0.0000000,-0.0000000,0.1,0.1,0.14,0.002,0.00005000000000000000,2.6,0.00000,0.00000,0.000000,P63/mmc,194,Inf,Inf,,4S3/2,1.91,0.0048,2,15
Nobelium,No,102,259,,1100.15,,,1100,,,,,,,116,,,,,,,,,,,,,,,,3,1.3,,,,,,,,,,RTECSYR3490000,,f,,7,[Rn]5f36d17s2,,,CAS10028-14-5,,,,,,,,,,,,,,0,0,0,0,0,,,,,,10008,20016,AlphaEmission,1,,,9.5,16
Osmium,Os,76,190.23,22610,3306.15,5285.15,Solid,3306,5285,5841000,,31,630,,158.32,,,88,0.00001,20000,0.00000800,3920000000.000000,7000000,,,222000000000.000000,,0.25,,4940,6,2.2,106.1,,,4.1,3089,EU231-114-0,4,,1,RTECSZE1280000,,d,8,6,[Kr]4d105s25p6,SlateGray,,CAS7440-04-2,CID23937,Gmelin16234,NSC607772,Conductor,12000000.00000,0.00000,0.66,Paramagnetic,,0,0.00000,0.00001,0,0,0.00007,0.00000,,,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,5D4,15,0.0023,6,8
Oxygen,O,8,15.9994,1.429,54.85,90.25,Gas,54.8,90.2,,154.59,0.222,3.41,,154,1/?,,0.02658,,,0.011196,,,,,,,,1.000271,317.5,2,3.44,141,,,2.2,1073,EU231-956-9,0,3,2,RTECSZG1925000,,p,16,2,[Xe]4f146s2,Colorless,Diatomic,CAS7782-44-7,CID977,Gmelin485,,,,,,Paramagnetic,,0.0000010,0.000000000,0.000002000,1,0.9,40,46,86,61,0.00000,0.00000,0.000000,C12/m1,12,Inf,Inf,,3P2,0.00028,0.00000100000000000000,2,16
Palladium,Pd,46,106.42,12023,1828.05,3236.15,Solid,1828.05,3236,5172000,,16.7,380,,824,,,72,0.000012,10380,0.00000900,37300000,4750000,461000000.000000,180000000000.00000,44000000000.00000,121000000000.000000,0.39,,3070,4,2.2,53.7,,,4.2,3200,EU231-115-6,0,1,0,RTECSLM6475000,,d,10,5,[He]2s22p5,Silver,,CAS7440-05-3,CID23938,Gmelin16239,,Conductor,10000000,0,,Paramagnetic,,0.000000,0.0000000,0.0007900,0,0,0.00007,0.00000,,,0.000000,0.000000,0.000000,Fm_3m,225,Inf,Inf,,1,6.9,0.0023,5,10
Phosphorus,P,15,30.973761,1823,317.35,553.65,Solid,317.3,553.6,,,0.64,12.4,,520,,,0.236,,,0.00001700,,,,11000000000.00000,,,,1.001212,,5,2.19,72,573.15,303.15,4.2,2447,EU231-768-7,4,4,2,RTECSXR1700000,,p,15,3,[Ar]3d24s2,Colorless,,CAS7723-14-0,CID5462309,Gmelin8863,,Conductor,10000000,0,,Diamagnetic,,-0.000000,-0.00000,-0.000021,0.00069999999999999999,0.00069999999999999999,0.11,0.099,0.00000700000000000000,1.1,0.00000,0.000000,0.00000,P-1,2,Inf,Inf,,4S3/2,0.18,0.00020000000000000001,3,15
Platinum,Pt,78,195.078,21090,2041.45,4098.15,Solid,2041.4,4098,,,20,490,,195,,,72,0.00001,19770,0.00000900,392000000.000000,3500000,549000000.000000,230000000000.00000,61000000000.00000,168000000000.000000,0.38,,2680,6,2.28,205.3,,,4.1,3089,EU231-116-1,2,1,0,,,d,10,6,[Xe]5d16s2,Gray,,CAS7440-06-4,CID23939,Gmelin79607,,Conductor,9400000,0.00000,,Paramagnetic,,0.000000,0.000000,0.0002570,0,0.00000100000000000000,0.00010,0.00000,,,0.000000,0.000000,0.000000,Fm_3m,225,Inf,Inf,,3D3,10,0.002,6,10
Plutonium,Pu,94,244,19816,913.15,3503.15,Solid,913,3503,172000000.000000,,,325,,139.5,,,6,,16630,0.000012000,,,,,43000000000.00000,96000000000.00000,0.21,,2260,6,1.28,,,,,,EU231-117-7,,,,RTECSOV4550000,,f,,7,[Xe]4f145d106s2,Silver,,CAS7440-07-5,CID23940,Gmelin40432,,Conductor,670000,0.00000,,,,0.000000,0.0000000,0.0006220,,0,0,0,0,0,,,,P121/m1,11,2501122000000000.0000000000,3595560000000000.000000000,AlphaEmission,7,1.7,,9.5,8
Polonium,Po,84,209,9196,527.15,1235.15,Solid,527,1235,,,13,100,,182,,,,,,0.00002300,,,,,,,,,,6,2,183.3,,,,,,,,,,,p,16,6,[Xe]4f96s2,Silver,,CAS7440-08-6,,,,Conductor,2300000,0.00000,,,,,,,,,,,0,0,0.000000,,,Pm-3m,221,3220234000,4639534000,AlphaEmission,3P2,0.5,,6,16
Potassium,K,19,39.0983,856,336.53,1032.15,Solid,336.53,1032,,2223,2.33,76.9,-182,445,,,100,,828,0.0000460,363000,400000,,3100000000.00000,1300000000.00000,,,,2000,1,0.82,48.4,713.15,,4.3,2257,EU231-119-8,3,3,2,RTECSQR5950000,Kalium,s,1,4,[Ar]3d84s2,Silver,,CAS7440-09-7,CID813,Gmelin15203,,Conductor,14000000.00000,0,,,,0.00000,0.000000,0.000006,0.00029999999999999997,0.00040000000000000002,0.07,1.5,0.042,0.2,0.000000,0.000000,0.000000,Im_3m,229,Inf,Inf,,2S1/2,2.1,0.0018,4,1
Praseodymium,Pr,59,140.90765,6640,1204.15,3563.15,Solid,1204,3563,,,6.9,330,,,,,13,0.00001,6500,0.00002100,481000000.000000,,400000000,29000000000.00000,15000000000.00000,37000000000.00000,0.28,,2280,4,1.13,50,,,,,EU231-120-3,,,,,,f,,6,[Rn]7s1,Silver,,CAS7440-10-0,CID23942,Gmelin16238,,Conductor,1400000,0.00000100000000000000,,,,0.000000,0.00000000,0.0028090,0,0,0.00001,0.00086,0,,0.000000,,,P63/mmc,194,Inf,Inf,,4I9/2,11.4,0.0029,8.5,5
Promethium,Pm,61,145,7264,1373.15,3273.15,Solid,1373,3273,,,7.7,290,,118,,,15,0.00001,,0.00002000,,,,33000000000.00000,18000000000.00000,46000000000.00000,0.28,,,3,,50,,,,,,,,,RTECSXO6400000,,f,,6,[Rn]6d27s2,Silver,,CAS7440-12-2,,,,Conductor,1300000,0.00000,,,,,,,,0,0,0,0,0,0.000000,,,,,559204200,806162400,ElectronCapture,6H5/2,8000,,8.5,7
Protactinium,Pa,91,231.03588,15370,1845.15,4273.15,Solid,1845,4273,7991000,,15,470,,478.2,,,47,,,0.000015000,,,,,,,,,,5,1.5,,,,,,,,,,,,f,,7,[Ne]3s23p5,Silver,,CAS7440-13-3,,,,Conductor,5600000,0.00000,1.4,,,0.000000,0.0000000,0.0005000,,,,0.00000,0,0,,,,I4/mmm,139,1034133520000,1491179660000,AlphaEmission,4K11/2,500,,9.5,5
Radium,Ra,88,226,5000,973.15,2010.15,Solid,973,2010,,,8,125,,154,,,19,,,0.000045,,,,,,,,,,2,0.9,,,,,,EU231-122-4,,,,,,s,2,7,[Xe]4f145d16s2,Silver,,CAS7440-14-4,CID6328144,Gmelin40437,,Conductor,1000000,0.00000100000000000000,,,,,,,,,,0.00000,0,0,,,,Im_3m,229,50148600000,72857400000,AlphaEmission,1,20,,7,2
Radon,Rn,86,222,9.73,202.15,211.45,Gas,202,211.3,,377,3,17,,168,1/?,,0.00361,,,0.02282,,,,,,,,,,6,,0,,,7,2912,EU233-146-0,,,,,,p,18,6,[Xe]4f126s2,Colorless,Monoatomic,CAS10043-92-2,CID24857,Gmelin16242,,,,,,,,,,,,,,,0,,0.00000,0.000000,,,,330349.968,476590.0032,AlphaEmission,1,0.7,,6,18
Rhenium,Re,75,186.207,21020,3459.15,5869.15,Solid,3459,5869,,,33,705,,,,,48,0.00001,18900,0.000009000,1320000000.000000,7000000,2450000000.000000,370000000000.00000,178000000000.000000,463000000000.000000,0.3,,4700,7,1.9,14.5,,,,,EU231-124-5,,,,,,d,7,6,[Rn]5f146d107s1,Gray,,CAS7440-15-5,CID23947,Gmelin16243,NSC600662,Conductor,5600000,0.00000,1.7,,,0.00000,0.000000,0.000097,0,0,0.00001,0.00000,0,,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,6S5/2,90,0.016,6,7
Rhodium,Rh,45,102.9055,12450,2237.15,3968.15,Solid,2237,3968,,,21.7,495,,167,,,150,0.00001,10700,0.00000800,1100000000.00000,6000000,1246000000.0000000,380000000000.00000,150000000000.00000,275000000000.000000,0.26,,4700,6,2.28,109.7,,,4.1,3089,EU231-125-0,,,,,,d,9,5,[Xe]4f106s2,Silver,,CAS7440-16-6,CID23948,Gmelin16245,,Conductor,23000000.00000,0.00000,,Paramagnetic,,0.000000,0.0000000,0.0001640,0,0,0.00002,0,,,0.000000,0.000000,,Fm_3m,225,Inf,Inf,,4F9/2,145,0.063,5,9
Roentgenium,Rg,111,272,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,,,,,,,,,,,RTECSVW3500000,,d,11,7,[Kr]4d105s1,,,CAS54386-24-2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,10,14.5,AlphaEmission,2S1/2,,,7,11
Rubidium,Rb,37,85.4678,1532,312.46,961.15,Solid,312.46,961,9400000,2093,2.19,72,,242,,,58,,1460,0.00005600,216000,300000,,2500000000.00000,,2400000000.00000,,,1300,1,0.82,46.9,,,4.3,1423,EU231-126-6,3,2,,RTECSFK9225000,,s,1,5,[Xe]6s1,Silver,,CAS7440-17-7,CID5357696,Gmelin16244,,Conductor,8300000,0.00000,,,,0.00000,0.000000,0.000004,0.00000100000000000000,0.00000300000000000000,0.00032,0.006,0.00001,0.00046,0.000000,0.000000,,Im_3m,229,Inf,Inf,,2S1/2,0.38,0.00029999999999999997,5,1
Ruthenium,Ru,44,101.07,12370,2607.15,4423.15,Solid,2607,4423,,,25.7,580,,710,,,120,0.00001,10650,0.00000800,2160000000.000000,6500000,,220000000000.00000,173000000000.000000,447000000000.000000,0.3,,5970,6,2.2,101.3,,,4.1,3089,EU231-127-1,,,,RTECSFF5250100,,d,8,5,[He]2s22p2,Silver,,CAS7440-18-8,CID23950,Gmelin16241,,Conductor,14000000.00000,0.00000,0.49,Paramagnetic,,0.00000,0.000000,0.000067,0,0,0.00008,0.00000,0,,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,5F5,2.6,0.00089999999999999998,5,8
Rutherfordium,Rf,104,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,d,4,7,[Rn]5f77s2,,,CAS53850-36-5,,,,,,,,,,,,,,0,0,0,0,0,,,,,,47160,68040,AlphaEmission,3F2,,,7,4
Samarium,Sm,62,150.36,7353,1345.15,2076.15,Solid,1345,2076,,,8.6,175,,328,,106,13,0.000013,7160,0.00002000,441000000.000000,,412000000.000000,38000000000.00000,20000000000,50000000000,0.27,,2130,3,1.17,50,423.15,,4.1,1325,EU231-128-7,1,1,1,RTECSCG0525000,,f,,6,[Ar]3d104s24p3,Silver,,CAS7440-19-9,CID23951,Gmelin16301,,Conductor,1100000,0.00000,,Paramagnetic,,0.000000,0.0000000,0.00081600,0,0,0.00002,0.00059999999999999995,0.00000,,0.000000,,,R_3m,166,Inf,Inf,,7,5900,4.7,8.5,8
Scandium,Sc,21,44.95591,2985,1814.15,3103.15,Solid,1814,3103,,,16,318,,371,,,16,0.000010,2800,0.00001500,750000000.00000,,,57000000000.00000,29000000000.00000,74000000000.00000,0.28,,,3,1.36,18.1,,,4.1,3089,EU231-129-2,,,,RTECSLW8600000,,d,3,4,[Ar]3d104s24p1,Silver,,CAS7440-20-2,CID23952,Gmelin16304,,Conductor,1800000,0.00000,0.05,,,0.00000,0.0000000,0.0002630,0.00000300000000000000,0.00000400000000000000,0.00064,0.0026,0.00000,,0.000000,0.000000,,P63/mmc,194,Inf,Inf,,2D3/2,27.2,0.025,4,3
Seaborgium,Sg,106,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,d,6,7,[Rn]5f107s2,,,CAS54038-81-2,,,,,,,,,,,,,,0,0,0,0,0,,,,,,6984,10008,AlphaEmission,5,,,7,6
Selenium,Se,34,78.96,4819,494.15,958.15,Solid,494,958,,1766,5.4,26,,,,,0.52,,3990,0.00001600,736000000.000000,2000000,,8300000000.00000,3700000000.00000,10000000000,0.33,1.000895,3350,6,2.55,195,,,6.1,2658,EU231-957-4,0,2,0,,,p,16,4,[Rn]5f146d77s2,Gray,,CAS7782-49-2,CID107674,Gmelin8872,NSC605850,,,,,Diamagnetic,,-0,-0.000000,-0.000019,0.00000300000000000000,,0.0013,0.00000500000000000000,0.00000,0.00000500000000000000,0.000000,0.000000,0.00000,P121/c1,14,Inf,Inf,,3P2,11.7,0.0056,4,16
Silicon,Si,14,28.0855,2330,1687.15,3173.15,Solid,1687,3173,,,50.2,359,-9055,129.1,,,150,0.00000,2570,0.00001200,,6500000,,100000000000,,47000000000.00000,,,2200,4,1.9,133.6,423.15,,4.1,1346,EU231-130-8,0,1,0,RTECSMD5070000,,p,14,3,[Xe]4f145d106s1,Gray,,CAS7440-21-3,CID5461123,Gmelin61188,,Semiconductor,1000,0.001,,Diamagnetic,,-0.00000,-0.000000,-0.000004,0.07,0.09,14,27,0.0001,0.026,0.000000,0.000000,0.00000,Fd_3m,227,Inf,Inf,,3,171,0.00020000000000000001,3,14
Silver,Ag,47,107.8682,10490,1234.93,2435.15,Solid,1234.93,2435,,,11.3,255,,160,,,430,0.000019,9320,0.00001000,24500000,2500000,251000000.000000,100000000000,30000000000,83000000000.00000,0.37,,2600,2,1.93,125.6,,,,,EU231-131-3,0,1,0,,Argentum,d,11,5,[Xe]4f136s2,Silver,,CAS7440-22-4,CID104755,Gmelin1253,,Conductor,62000000.00000,0.00000,,Diamagnetic,,-0.00000,-0.000000,-0.000024,0,0,0.00001,0.00001,0,,0.000000,0.000000,0.000000,Fm_3m,225,Inf,Inf,,2S1/2,63.6,0.02,5,11
